ID	Сборник	НАЗВАНИЕ	ГОД	ТЕКСТ
1199	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""В доме негусто, но пиршество взору..."""	1976	"В доме негусто, но пиршество взору. 
В рамах шикарная нищета: 
свищут скворцы на верхушке березы, 
как бубенцы на макушке шута."
1200	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Олимпийская сборная	1980	"Лязг колясок, скрип резины 
в инвалютных небесах -  
инвалид всея России 
возвращается назад.
И душа, как черный ящик, 
не заснет весь рейс она 
между олимпийцев спящих, 
расчлененных, как страна.
На коляске их до трапу 
барселонцы подвезли, 
как веласкесского Папу, 
в кресле подняли с земли. 
Королевские медали, 
дам восторженный бинокль... 
С чем на родине их ждали? 
Родина —  без рук, без ног.
Я не сплю. Заснул афганец,
подорвавшись на любви.
Не читай ему акафист.
С утешеньем отвали.
Загорелая восковка, 
и тоска на тормозах, 
и оттенок превосходства 
снизу вверх -  в его глазах.
Что спасет нас? Только прана, 
воли бешеный комок, 
что нас подымает на ноги, 
даже если нету ног.
Летний сад, пошли им ласково 
круг решетки на углу -  
инвалидную коляску, 
утонувшую в снегу."
1201	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Верблюды пишут верлибры..."""	1991	"Верблюды пишут верлибры 
Нимфы рифмуются с отражением 
В полусвете воска вокзалов 
вязнет моя судьба"
1202	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Трасса смерти	1978	"Я купил «мерседес», я, по-вашему, турок, 
экономивший в Руре на жратве и сортирах.
Я к себе возвращаюсь через ваши культуры —  
византийский окурок, лечу в Византию!
Трассой смерти зовется такая дорога.
(ФРГ -  мимо Софии —  в Айя-Софию.)
Словно совесть, зовут указатели «к Богу!». 
Позабыв Византию, летим в Византию.
Люди выбросят палец, прося подвезти их, 
императорским жестом: «Умри, гладиатор». 
Слово «Бог» опустело, как улья пустые.
Я святою водою залил радиатор.
Потеряв Византию, летим в Византию.
Возвращаемся к женщине. Но жилье опустело. 
Ах, как мне она пела на море чернейшем!
А наклонит лицо -  в золотом ее теле 
отразятся зрачки, как четыре черешни.
Возврати меня в веру, как зов атавизма, 
Византия, верни мне транзитную визу!
Врежусь в встречные фары твои золотые... 
Византии не будет. Летим в Византию."
1203	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Из якутского дневника	1978	"«Что он Гекубе?
Что ему Гекуба?»
Что я якутам?
Что мне якуты?
Но я тоскую по Якутии 
с такою краткою травою!
Ее природа внешне скудная, 
зато душой не оторвешься.
Как бережно дома якутские 
над мерзлотой парят на сваях! 
Они прохладой землю кутают, 
чтоб, как Снегурка, не оттаяла.
С какой надеждою скворешни 
стоят на кладбищах дощато, 
чтоб души временно умерших, 
настранствовавшись, возвращались.
Здесь время свеже, как из ледника. 
И в логове оленевода 
Данилов мне читает Хлебникова, 
понятного без перевода."
1204	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Охотник	1968	"Я иду по следу рыси, 
а она в ветвях -  за мной. 
Хищное вниманье выси 
ощущается спиной.
Шли, шли, шли, шли, 
водит, водит день-деньской  
лишь, лишь, лишь, лишь
я за ней, она за мной.
Но стволы мои хитры, 
рыси —  кры..."
1205	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Мы в городе проголодались..."""	1962	"Мы в городе проголодались.  
павши в травы, мы равны 
всем муравьям и голодранцам. 
Крапивы к ужину нарви!

Я сыт поляной, где качаются 
по темным щавельным волнам 
ромашки —  как крутые яйца, 
нарезанные пополам."
1206	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Из сибирского блокнота	1958	"Здесь гостям наливают 
так, что вышибут дух.
Здесь уж если рожают, 
обязательно двух!
Если сучья —  так бивни, 
а уж если река, 
блещут, будто турбины, 
белых рыбин бока.
Как пружина раскрученный, 
бьет сазан из сачка.
Солнце брызжет из тучи, 
как с тугого
соска!
Ты куда, попрыгунья 
с молотком на боку? 
Ты работала в ГУМе,
ты махнула в тайгу.
Точно шарик пинг-понга, 
ты стучишь о мостки, 
аж гудят перепонки 
тугоухой тайги!
Ты о елочки колешься.
Там, где лес колдовал, 
забиваешь ты колышки: 
«Домна». «Цех». «Котлован». 
Как в шекспировских актах —  
«Лес». «Развалины». «Ров». 
Героини в палатках. 
Перекройка миров."
1207	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Любя природу во все глотки..."""	1986	"Любя природу во все глотки, 
люд за собой не уберет, —  
как будто голова селедки, 
лежит на небе вертолет."
1208	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Гость у костра	1958	"Облупленные морды. 
Костер. Ручей.
Мы молоды и голодны, 
как сто чертей.
И Лялька, Лялька 
в фуфаечке тугой, 
курносая, как лайка, 
хлопочет над ухой.
Хошь не хошь, 
гож не гож —  
гость!..  
А гость садится к чайнику,
он хмур не по годам, 
щетина, как лишайник, 
сползает по щекам.
Упруги щечки пресные, 
как пара ягодиц:
—  По-вашему, я —  «плесень», 
«сектант», «иеговист».
Мы —  поколенье лишнее, 
мы маски без лица, 
сквозь стеганые лифчики
не слышатся сердца. 
Стареющие женщины 
учили нас любви, 
отсюда горечь желчная 
и пустота в крови...
А Лялька, Лялька, Лялька, 
ой, сатана,
ему рюкзачной лямкой 
по роже —  на! на!.. 
Гагарин —  пропаганда?
А Братск, а Сталинград? 
Поганка, ты поганка! 
Гад, гад, гад!
Ах, как она хлестала...
А после, у ольхи, 
как она роняла 
слезинки в угольки..."
1209	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Шабашники	1977	"Я спустился с ними 
чащобой девственной 
вниз от пилорамы 
верст на сто —  
пилигримы места, времени
и действия
«где-когда-что?».
По святым местам
великого Илима,
временем единственным,
данным нам,
рубят коровники
злые пилигримы —
так истосковались по святым делам!
По дороге пили, 
подбивали башли.
Но остались срубы 
сиять, как храм.
Чистота прикидывается 
шабашником, 
так истосковалась 
по святым делам. 
Мученик Cepera
С перепою бледен, 
он по делу этому ветеран. 
Перебрать по бревнышку 
всю Россию бредит, 
так истосковался по делам.
По пути прочистили 
гибнущее озеро.
Для души —  
заплатит товарищ волк!
Шестеро паломников 
дипломы бросили —  
так образовался 
«инженерский полк».
Что-то покосился 
берег у Илима?
Скомкана полсотенная в плаще. 
И уйдут
транзисторные пилигримы 
с «Лунною сонатою» 
на плече."
1210	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Я в Шушенском. В лесу слоняюсь..."""	1961	"Я в Шушенском. В лесу слоняюсь. 
Такая глушь в лесах моих!
Я думаю, что гениальность 
переселяется в других.

Уходят имена и числа.
Меняет гений свой покров.
Он —  дух народа.
В  этом смысле
был Лениным —  Андрей Рублев.

Как по архангелам келейным,
порхал огонь неукрощен.
И может, на секунду Лениным 
был Лермонтов и Пугачев.

Но вот в стране узкоколейной, 
шугнув испуганную шваль, 
в Ульянова вселился Ленин, 
так что пиджак трещал по швам!

Он диктовал его декреты. 
Ульянов был его техредом.

Нацелен и лобаст, как линза, 
он в гневный фокус собирал, 
что думал зал. И афоризмом 
обрушивал на этот зал.

И часто от бессонных планов, 
упав лицом на кулаки, 
устало говорил Ульянов:
«Мне трудно, Ленин. Помоги!»

Когда он хаживал с ружьишком, 
он не был Лениным тогда, 
а Ленин с профилем мужицким 
брал легендарно города!

Вносили тело в зал нетопленый, 
а он —  в тулупы, лбы, глаза, 
ушел в нахмуренные толпы, 
как партизан идет в леса.

Он строил, светел и двужилен, 
страну в такие холода.
Не говорите: «Если б жил он!..» 
Вот если б умер -  что тогда?..

Какая пепельная стужа 
сковала б родину мою!
Моя замученная муза, 
что пела б в лагерном краю?

Как он страдал в часы тоски, 
когда по траурным трибунам -  
по сердцу Ленина -  
тяжки,
самодержавно и чугунно 
стуча взбирались сапоги!

В них струйкой липкой и опасной 
стекали красные лампасы."
1211	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Некролог	1980	"Покойник был не кролик. 
Ему бы чуточку пожить -  
некому было б хоронить."
1212	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Летел он от Земли наискосок..."""	1978	"Летел он от Земли наискосок,
оставив слева Запад и Восток, 
и соответственно -  Север и Юг, 
ориентируясь на сердца звук.

Но это было сердце не его, 
а чье-то,
что откуда-то звало.

Увидел, что не знали словари, 
«Ты дивео"", -  понявши, он сказал. 
И растворился в Существе любви. 
Но не в любви, 
которую он знал."
1213	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Ласточки	1984	"На май обрушились метели. 
Проснулся —  ласточек полно. 
Две горных ласточки влетели 
в мое окно. Мое окно 
они открыли, леденея -  
небесно-бедственная весть! 
Теперь сидят на батарее, 
высокомерничают есть,
бесстыдничают в оперенье, 
в них что-то есть. Какая спесь!

Пошли по моим книгам зыркать, 
искать жемчужное зерно.
К их клювикам-малокозыркам 
явилась третья сквозь окно.
Она, как чьи-то мысли дальние, 
часами может замирать.

На лоб оконночный спадает 
крыло ненужное, как прядь.

Я только выпустил три тома.
И вот сигнал, что кто-то их 
там прочитал в мирах бездонных 
и мне отправил три своих.
Чем отдарю я дар твой тихий 
и это счастье повидать,

как треугольные пловчихи -  
из угла в угол и опять -
сто верст пытаясь налетать, 
перекрестили красотою 
мой дом, как синее письмо!

Шуршат их крылышки в кроссовках, 
как бог Гермес. И все синё!.. 
Пока они не улетели, 
я делал с них фотоэтюд.
Я улетел через неделю.
В квартире ласточки живут."
1214	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Цветы на стволе	1977	"Как я всегда жалею 
эти цветы без веток -  
ствол обхватив за шею, 
чтоб не сорвало ветром!

Эти цветы-ошейники 
так и не разовьются.
Есть в них черты отшельников 
даже средь многолюдства.

Есть в них укор внимательный, 
детская, что ли, старость? 
Смерть -  преступленье матери, 
если дитя осталось.

Что ты, дитя приюта? 
Выплакалась, не надо...
Матери -  иуды.
Тернии интернатов."
1215	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Как белоснежно, как бездонно..."""	1974	"Как белоснежно, как бездонно 
благословила нас в порту 
двутрубно-белая мадонна 
с младенцем-шлюпкой на борту.

Она, склонясь у изголовья, 
следила спящие тела,

когда ж, шатаемы любовью, 
мы вышли кофе пить на взморье, 
она, спокойная, ушла 
не шибко, в 32 узла."
1216	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Я башня Сухарева..."""	1974	"Я
башня 
Сухарева 
боярышня 
суриковская 
нессучившаяся 
текитеки сукровица 
убиенная мазуриками 
с ромбами и кубиками
На Сухаревой башенке 
Иван Великий женится 
В Москве землетрясение 
как брачная кровать
сдайте яйца сооружению
на белке хоромам
сто лет стоять
Иван Великий женится
на Сухаревой башенке
я ее строитель Чеглоков
красные дороженьки застелить велите!
почему ж повалены миллионы толп?
По Сухаревой башне рыдай, Иван Великий! 
Над Москвой белеет овдовевший столп."
1217	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Липечанские болота	1970	"I
«Филидович, проведешь в логова?»
«Да, «Мертвая голова», -  закатаны рукава». 
«Филидович, а оплата не мала?»
«Жизнь, «Мертвая голова», была бы семья жива». 
«Филидович, кто в залог остался за?»
«Внук, «Мертвая голова», голубенькие глаза...» 
Под следочком расправляется трава.
Филидович, проклянет тебя молва!
II
«Филидович, от заката до восхода 
справа, слева, сзади, спереди -  болота, 
перед нами и за нами, как блевота, 
и под нами...»
«А точнее говоря, 
и уже над нами —  болота,
«Мертвая голова!»"
1218	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Я хочу в осенней дали..."""	1971	"Я хочу в осенней дали 
реставрировать, что вижу, 
что в себе порастеряли 
торгаши и нувориши.
Что-то есть в наивном «газике» 
под брезентовой навеской*
от пропахших Средней Азией 
первых шлемов конармейских.
В византийских темных красках 
вечереющего лета 
«газик» вспыхнет и погаснет, 
и чего-то нету, нету..."
1219	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Ну, что же, примем аксиому века..."""	1976	"Ну, что же, примем аксиому века 
и попытаем аксиому счастья. 
Счастливая улыбка Моны Лизы, 
познавшая загадку монорельсы."
1220	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Грибница	1980	"-  Мы —  не люди, грибные мутанты, 
мы —  туманты.
Гуманизма исчезнувший мамонт 
потоптал нашу честную маму. 
Мы —  to-night’ы.
Меломаны, в скрипичные такты 
на ушах мы вползаем, как танки, 
хохматанты, 
мы —  тьмутараканты.
Детки смотрят в подъездах
мультяшки
Жизнь смутьянов охомутала, 
откусивши язык Эзопов, 
нынче в душах, как из сексшопов, 
вылезают грибные мутанты.
Двухголовый пацан веселится, 
и летит двухголовая птица, 
все кодируют наши грибницы.
И, мыча, демонстрируют люди 
две души, словно женские груди. 
Жизнь удачная —  только мудачная. 
Мы проходим муки мутации.
И когда ты путанкою тычешься, 
черный рыжик с подкраскою панка, 
по губам твоим наркотическим 
понимаю —  грибная мутантка!
Но ночами с балкона подолгу 
глядя в необъяснимую высь, 
ты читаешь свое подобье 
в шевеленье Небесных грибниц...
И когда нас земля поглотит
в чрево Данте,
долго будет планету мутить.
Мы —  мутанты..."
1221	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Московская окрошка	1979	"1
Окрошка хороша —  
с накрошенными в ней кусками 
яичными особняками, 
прозрачным огурцом Пассажа, 
с толпой взаимного массажа, 
с уже старославянским «лажа», 
с мотоциклетною редиской, 
с укором лет, где ты родился —  
кто съел вас, кореша?
2
Окрошка хороша 
бессонных наших разговоров 
о битлах, Герцене, моторах, 
на Ленинских —  экс-Воробьевых, 
и поцелуев торопливых 
под бритвенным ремнем
трамплина,
над попкою «моржа»—  
окрошка хороша.
3
Москва! Люблю тебя окрошно, 
великий крашеный Акрополь! 
Все залито весной коричневой, 
пузырчатой, тревожной,
взвинченной, 
в горле от этого перша, 
окрошка хороша.
4
Москва, под чем сегодня клюкнешь? 
Не под развесистою клюквой, 
а под клубничкой-адидасом 
с лба баскетбольного дитяти, 
хмельного с этого ерша.
И пятитоночки, сердечно 
поцеловавшей «мерседеса» 
на выезде из гаража —  
окрошка хороша.
5
И ироничная москвичка 
пришпилит трусики «кавычками» 
к шнуру балкона нетипичного 
восьмого этажа.Их стайка белая лиричная, 
как строчка Бальмонта, свежа.
6
Окрошка хороша 
твоей прически чародейской, 
злодейских слез и веры детской, 
с главой зачитанной Булгакова 
и непрочитанного «как его?».
Ты —  дочь Москвы. Ее душа.
7
И приготовлена Тобою 
получше ВТО любого, 
окрошка хороша."
1222	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Март	1980	"С Черемушкинского рынка 
в Москву прилетает весна, 
Ходынка!
В сугробах страна.
Но женщина в красной косынке
одела в аэропорту 
бутоны тюльпанов в резинки, 
чтоб предохранить красоту."
1223	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Бассейн	1980	"Когда задевает за мозгу мозга, 
нырните в бассейн «Москва».
Где алтарь Христа Спасителя, 
там кипят водосмесители, 
это ад, ад, ад, 
это антимаскарад, 
на воде вместо Крестителя 
наши головы лежат.
Я в аду, жду, жду.
Пробегают на лету 
в хлорных клубах
вместо шубок 
чемпионки лучших клубов 
с дезинфекцией во рту.
В антиплавках дьявол синий 
плыл, как вызов наготе, 
весь обтянутый резиной, 
а где плавки —  декольте.
Ад распространяет сырость 
на пушкинианский дом, 
где в испуге разместилось
общежитие мадонн.
Почему я опускался 
на запретнейшее дно, 
надевая шапок скальпы? 
Видел то, что не дано.
Я лежал на спинке в полночь. 
Было страшно и легко.
Я увидел возле поручня 
Непорочное лицо.
Ночь морозная сияла 
вкруг снесенного Кольца, 
словно эхо христианства 
или купол без конца.
Недоступное таможне, 
что напоминает храм, 
что разрушить невозможно 
и понять не время нам."
1224	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Мороз	1980	"От мороза лопнут трубы —  
ничего!
Мы пока еще не трупы, 
нам с тобою горячо.
Москва вроде Минусинска: 
минус 45.
Значит, предстоит разминка, 
чтобы кровь полировать.
Я люблю не оттого ли 
наш крещенский холодок —  
полирует кровь и волю, 
как для зайца нужен волк.
Помнишь время молодое? 
Мы врывались на пари, 
оставляя пол-ладони,
примороженной к двери.
У мороза звон мажорный. 
Принимайте душ моржовый! 
Кому холод —  лютый, 
а кому —  валютный.
Белки, царственно шуруя 
по волшебному стволу, 
траекторией шурупа 
завинтились в синеву!
Помнишь, как они гонялись 
в нашу летнюю судьбу, 
завивая гениально 
цепь златую на дубу?"
1225	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Экология	1973	"Долой меньшинства божество! 
Отдай большинству украденное! 
Эксплуатируемое большинство 
свергает аристократию.
Долой меньшинства божество! 
Грабителей разоружили. 
Эксплуатируемое большинство
свергает буржуазию.
Долой меньшинства божество! 
Глядит на людей с любопытством 
эксплуатируемое большинство 
пернатых, рогатых, копытных..."
1226	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Дежурная аптекарша	1979	"—  Аптекарша, дай мне забвение! 
Желательно внутривенное.
—  Аптекарша, мы из села Вязники. 
Мы язвенники.
—  Аптекарша, дай кислорода! 
Перекрыли царя природы.
—  Без очереди, криворотый!
—  А ночью рецепт откеда же?
—  Со всего света мы тут, аптекарша, 
истомились за столетье истекшее...
—  Не сосед, а горе-злосчастие —  
аптекарша, дай противозачаточное...
Я тебя в дежурство развлекаю. 
Ты все время возвращаешься
к клиентам.
Хохлятся латинские лекарствана
крутящихся темных этажерках, 
словно рижские голубятни 
или кафедры римских соборов. 
Аптекарша, бессонный мой
совенок!
Дверь дубовая —  на засовах, 
в ней квадратное окошко
за решеткой, 
и сквозь это окошко милосердное 
умоляют глаза и носоглотки, 
рецепты, фуражки милицейские, 
кашли, башли, печали, челюсти. 
Излечимо ли человечество?
—  Аптекарша, дайте мне яду!
—  Принимайте, по возможности,
Моцарта.
—  Аптекарша, свинцовых примочек, 
а шоферу чего-нибудь мятного!
—  Я с поста. Отвори, аптекарша, 
изложу дежурство протекшее.
Я кручу лекарственные столики. 
Меня их круженье забавляет. 
Скажем, вызову: «Н. Н. Кроликов!» 
И Кроликов появляется.
—  Аптекарша, блок кодеина!
—  Обтерпишься! (Местный
Катилина.)
Я взрываюсь: «Алкаш и! Пусгобрашя! 
Упыри! Марафетчики патлатые!» 
Говоришь ты: «Выключи радио...» —  
и мне рот затыкаешь халатом.
—  Аптекарша, смерь артерию!
—  Отужинаем, аптекарша!
—  Дочка сейчас отелится, 
облажались мы с тобой, аптекарша.
—  Аптекарша, аптекарша, аптекарша...
—  Аптекарша, дай мне забвение. 
Возможно. Но тем не менее...
Излечимо ли человечество? 
Смерть —  причина или личина 
неземной какой-то заразы? 
Стойки лекарственных заказов 
кружатся в наивном спиритизме. 
И дрожат, недоступные для глаза, 
паутинки радужные жизни, 
от тебя протянуты в квартиры, 
к обитателям кратного крова, 
к постовому, к тому же Кроликову, 
как бессонные лески рыболова. 
Ослабела вдруг паутинка —  
значит, в ком-то жизнь поутихла.
Ты встаеш ь, чью-то жизнь поправишь, 
аптекарша, случайный мой товарищ... 
Пахнет сеном, сушеной астрой, 
буквы вышиты на халатике.
Ты к нам перевелась из-за астмы 
из какой-то другой галактики.
И когда посетители последние 
откачнутся, оставив кассу, 
припадаешь к окошку милосердному, 
видишь город и утро серое 
сквозь тучи, почти весенние, 
откроется квадратик небосвода. 
«Дайте аптекарше кислорода!»"
1227	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Я помню птиц неутолимой Вечности..."""	1981	"Я помню птиц неутолимой Вечности. 
Я помню хруст их клювов и зрачков. 
И отлетали ножки от кузнечиков, 
как дужки отломившихся очков."
1228	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Большеголовая ночная бабочка..."""	1981	"Большеголовая 
ночная бабочка 
сложив крылья 
сидит
на белой стене 
как замочная скважина

в абсолютную тайну 
Из белой истины 
на нас глядит 
непроглядная тайна"
1229	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Море подзалетело..."""	1982	"Море подзалетело. 
Народилась коса. 
Синева золотела, 
вспоминая Отца."
1230	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Донжуанизм	1982	"Не Анна, Дон Жуан, твоя богиня —  
на Командоре поженись!
Влеченье через женщину к мужчине -  
донжуанизм.
Ты столько нежных пропахал гектаров.
Ты с женских кос не собирал нектара.
За шейками вместо косы 
кусались командорские усы.
И отношение барона к Пушкину 
сквозь Натали неутолимо, нет.
Предметом его страсти перекушенной 
был презиравший эту страсть Поэт...
В окно глядели черные деревья.
Свет женщины, как белый мостик, плыл...
Любил ли Белый Любу Менделееву?
Он Блока в ее образе любил.
А Дон Жуан, в названии обещанный? 
Бабья -  навал.
Не отбивал у Командора женщины -  
у женщины его он отбивал."
1231	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Ответ министру	1989	"Здравствуйте, министр добрейший 
аморальных удобрений!
У датчан едят нитрат 
больше нашего в сто крат?
Я за них просто в отчаянии!
По больницам нашим в ряд —  
все датчане, все датчане 
с отравленьями лежат. 
Ах, министр, не пестицидьте!
Неужель -  не у датчан -  
детской смертности статистика 
Вас не будит по ночам?!
Скушайте, министр, продукты, 
что народу продают.
В Дании такие фрукты 
в отставку подают."
1232	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Отступление об отступлениях	1960	"Болен я. Живу у моря.
Нет «Америки». Умора!
Я живу, счастливый пленный 
Обнаглевших отступлений.
Муза мне чаек мешает, 
Помогает и мешает.
Ждет редактор Косолапов... 
Берег кляксами заляпав,
Мое море отступает,
Точно сцену обнажает —
Душу,
водоросли,
песок,
А потом на берег шпарит, 
Как асфальтовый каток!"
1233	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Окна	1961	"Свет потуши. Зажгутся окна 
невыразимою зарей.
В потустороннем доме —  елка. 
Там ожидают нас с тобой.

И сквозь морозные узоры 
на нас, стоящих за окном, 
уставятся иные взоры -  
Пространств странноприимный дом."
1234	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Две чашки в сумерках белели..."""	1980	"Две чашки в сумерках белели —  
как оттиск в гипсе молодом, 
что вы оставили, миледи, 
здесь, наклонившись над столом."
1235	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Объявление о знакомстве	1980	"«Блондинка, стройная,
17 2- сантиметровая,
что любит кулинарию и книги» —
опубликована,
как ордер просмотровый,
в «Вечерней Риге».
Мне это имя, кажется, знакомо... 
Нога балетная. Улыбка бабьелетняя. 
Под шкаф скакнула 
незабвенная заколка...
По объявлению! по объявлению!
Кругом двухкомнатные женщины
петитом.
Спрос на мужчин от 40 и до 50-ти. 
Под ними руки 
стерты Моцартом и стиркою. 
Какие страшные судеб 
четверостишия! 
Идут по улицам, взрослея и старея,
и мнут перед редакцией перчатки 
самые честные стихотворения. 
Не всех печатают.
Несложившиеся книги. 
Неопубликованные невесты.
Я не печатаюсь в вечерней «Риге», 
чтоб им было больше места.
Где ты идешь сейчас, какой дорогой? 
Очки поправив.
Бездонные глаза —  как некрологи 
в черной оправе.
По всей стране конверты
запечатывают.
Хохочет кодло.
Наверно, пошло, что в газете их 
печатают.
Но не печатать -  подло."
1236	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Вынужденное отступление	1960	"В Америке, пропахшей мраком, 
камелией и аммиаком,
в отелях лунных, как олени,
по алюминиевым аллеям,
пыхтя, как будто тягачи,
за мною ходят стукачи, 

17 сигарет в ночи,

Один —  мордастый, как томат,
другой -  галантно-нагловат,
А их главарь —  горбат и хвор,
Кровавый глаз -  как семафор.

Гостиницы имеют уши.
Как микрофон головка душа, 
и писсуар глядит на вас, 
как гипсовой богини глаз.

17 объективов щелкали.
17 раз в дверную щелку 
я вылетал, как домовой, 
сквозь линзу —  книзу головой.

Живу. В гостиных речь веду. 
Смеюсь остротам возле секса. 
Лежат 17 Вознесенских 
в кассетах, сейфах, как в аду.

Они с разинутыми ртами, 
как лес с затекшими руками, 
как пленники в игре «замри!» 
застыли двойники мои.

Один застыл в зубах с лангустой. 
Другой —  в прыжке повис, как
люстра.
А у того в руках вода.
Он не напьется никогда!

17 Вознесенских стонут, 
они без голоса. Мой крик 
накручен на магнитофоны, 
как красный вырванный язык!

Я разворован, я разбросан, 
меня таскают на допросы... 
Давно я дома. Жив вполне.
Но как-то нет меня во мне.

Впотьмах в подземных казематах, 
шпионы с восхищенным матом, 
как рентгенологи и филины, 
меня просматривают в фильме.

Один надулся, как москит. 
Другой хрипит: «Дошел, москвич?!.» 
Горбун мрачнеет, он молчит. 
Багровый глаз его горит.

Невыносимо быть распятым, 
до каждой родинки сквозя, 
когда в тебя от губ до пяток, 
как пули, всажены глаза!

И пальцы в ржавых заусенцах 
по сердцу шаркают почти.
«Вам больно, мистер Вознесенский?» 
Пусти, чудовище! Пусти.

Пусти, красавчик Квазимодо! 
Душа горит, кровоточа 
от пристальных очей «Свободы» 
и нежных взоров стукача."
1237	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""А еще я скажу апропо..."""	1975	"—  А еще я скажу апропо...
—  Про что скажете?
—  А про то! -
—  Может, лучше про Артлото? — 
—  А про то? -  
—  Бросьте в ступе толочь решето

лучше мчитесь неторной тропой
по заоблачным горным плато...
—  А про то?
- Ты про что намекаешь, браток?
- А про то..."
1238	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Стихотворение, вращающее вал	1980	"Неужто колесо цивилиза­ции
земной завертится обратно?
Акрополь рухнет? И нахлынет
брато­убийственная божия гроза?

Неужто сумасшедшие гала­ктики 
сорвут свои орбиты?

Народы сгинут? Снова необита­ема 
планета станет и гола?

Но где же притаится Бог бессмерт­ной
Жизни? Ей немыслимы потери.
А без нее пустынная матери-
я станет, словно сброшенный
бешмет.

Я верю, умирающая ци­вилизация
сменится иною.
Жизнь вспыхнет обновление как
при Ное­вом 
половодье. Мы - ее жрецы.

И толпы непонятных лилипу­тов
 или великаны в форме капель
заселят мир. Но некоммуникабель­ность
мне не даст постигнуть их
толпу.

Как мне представить эту цивили­зацию?
Как туда проникнуть зайцем
в сигналящую нам цивилизацию,
словно феникс будущей Земли?

Не утверждайте, что придет Конец.
Присутствуем мы вечно при Начале.
Чье сердце разорвется от печали,
когда не будет на земле сердец?"
1239	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	"""Идет перетягивание каната..."""	1980	"Идет перетягивание каната. 
«Здесь"" — ""там"".
Все меньше темная наша команда. 
Как тянет к себе другой капитан!"
1240	ПРЕДШЕСТВУЮЩАЯ ТВОРЕНЬЮ	Рука 44-го года	1980	"Торчала среди Европы, 
блестя ободком кольца, 
из засыпанного окопа 
рука твоего отца.
Протягивалась к жизни из глуби небытия 
мертвая, во вздутых жилах 
отцовская пятерня.
Ее солдат проходивший 
ударил концом штыка.
И судорогой закричала дернувшаяся рука! 
Живой! Сверкнули лопаты.
Он жив до сих пор, мужик 
со шрамом в рукопожатье.
Спасибо, жестокий штык!
Вы жали ли руку Времени?!
Вы жали ли руку Христу?!
По скользкому шрамику кремния 
узнаете руку ту.
Вот почему в испарине судорогою лица 
ко мне через стол уставленный 
ты клонишься, сын отца.
И побледнеют женщины. Запнется магнитофон. 
В столе откроется трещина Времен.
И, содрогая недра, зовет тебя и меня, 
из земли протянута к небу, 
отцовская пятерня."
